"TS","serverName","serverID","latency","jitter","packetLoss","download","upload","downloadBytes","uploadBytes","shareURL"
"2024-01-01T00:30:01+00:00","Arcolink TLC - Siena","29951","151.496","2.902","N/A","619301","1064636","6557664","15465792","https://www.speedtest.net/result/c/810828b7-7e1c-4527-b225-ca31b1475fdc"
"2024-01-01T01:00:01+00:00","IVO by D.t.s. S.r.l. - Siena","10919","68.849","0.97","3.34928","1729171","905547","18043697","5691108","https://www.speedtest.net/result/c/5a8fffa1-b863-438f-822f-e2b4ba0d571e"
"2024-01-01T02:00:01+00:00","Aruba S.p.A. - Arezzo","40515","51.802","6.235","0","3161559","793772","29362080","6299936","https://www.speedtest.net/result/c/d077bd8d-a26b-4c43-af13-76a41ad6f59b"
"2024-01-01T02:30:01+00:00","TIM SpA - Perugia","57879","59.781","2.757","0","3381897","833290","48869724","12120812","https://www.speedtest.net/result/c/fc14974e-3b3c-4619-996c-4f8e72e111c8"
"2024-01-01T03:00:01+00:00","Polo Universitario Aretino - Arezzo","35148","59.426","0.696","0","1890515","805168","25897562","6434668","https://www.speedtest.net/result/c/2780fc2a-ddd7-4bce-913d-9ee68a49bafc"
"2024-01-01T03:30:01+00:00","TIM SpA - Perugia","57879","59.811","2.486","0","4329350","852493","48974852","11322448","https://www.speedtest.net/result/c/9d180e5c-9f5a-4a42-997f-cf84940da7c5"
"2024-01-01T04:00:01+00:00","Polo Universitario Aretino - Arezzo","35148","58.996","1.716","0","2108327","820241","22734176","4059444","https://www.speedtest.net/result/c/3944beb3-09ac-4a33-9b58-6c07ce3f8cc6"
"2024-01-01T04:30:01+00:00","Aruba S.p.A. - Arezzo","40515","51.778","16.08","10.2222","3827542","786887","44060384","7369072","https://www.speedtest.net/result/c/c1b2749a-6ac4-433a-8f87-65724e31123e"
"2024-01-01T05:00:02+00:00","Aruba S.p.A. - Arezzo","40515","49.774","4.556","19.9248","2566426","803855","38193168","9176288","https://www.speedtest.net/result/c/3899758b-a1f5-4f1f-83d1-6ac51041f156"
"2024-01-01T05:30:01+00:00","Polo Universitario Aretino - Arezzo","35148","62.747","4.486","37.7289","3260529","305795","36086480","4067880","https://www.speedtest.net/result/c/a4b243fc-1698-4705-a045-54fa99906db9"
"2024-01-01T06:00:01+00:00","Arcolink TLC - Siena","29951","51.628","7.312","23.0769","3392771","868658","32772384","9978304","https://www.speedtest.net/result/c/79f12780-396c-4bb4-8240-040fffb6a7eb"
"2024-01-01T06:30:02+00:00","TIM SpA - Perugia","57879","59.764","3.527","46.1538","1255684","825084","13469604","8689900","https://www.speedtest.net/result/c/3eadab8c-e533-40a8-89bb-0dcdab46d3c8"
"2024-01-01T07:00:02+00:00","ADD39 - Coding SRL - Abbadia San Salvatore","26941","49.811","3.005","0","2758658","840042","34322048","10779760","https://www.speedtest.net/result/c/63903936-47d0-43a5-bf92-f86d0b9b913a"
"2024-01-01T07:30:02+00:00","TecnoADSL - Perugia","57465","48.812","2.976","N/A","1721450","398890","17370240","5180528","https://www.speedtest.net/result/c/d142e564-6afa-454e-b9a1-d7351a22b569"
"2024-01-01T08:00:01+00:00","Polo Universitario Aretino - Arezzo","35148","59.517","0.663","34.5588","697914","975629","8458836","10075728",""
"2024-01-01T08:30:01+00:00","Etruriacom Srl - Siena","60173","59.893","2.691","0","675987","772177","7755888","8734976","https://www.speedtest.net/result/c/c693e63d-5f96-41b5-b249-9f00fb5f238a"
"2024-01-01T09:00:01+00:00","TIM SpA - Perugia","57879","58.855","5.615","1.30719","638631","175649","4850800","2403960","https://www.speedtest.net/result/c/7268fb5d-4c12-45e9-b36d-bf84bac3554e"
"2024-01-01T09:30:01+00:00","TIM SpA - Perugia","57879","59.842","2.736","0","277061","577046","4105760","5684688","https://www.speedtest.net/result/c/858ec662-6832-4ff0-9671-563d8fe0fe99"
"2024-01-01T10:00:02+00:00","Coolnetwork - Arezzo","3009","69.711","0.421","0","1527949","914647","19498356","10411540","https://www.speedtest.net/result/c/30dc7e95-4ce1-4d85-8b45-72c0a26473d1"
"2024-01-01T10:30:01+00:00","Polo Universitario Aretino - Arezzo","35148","69.586","2.081","0","1278645","650597","18102720","4888440","https://www.speedtest.net/result/c/db38b5df-21f9-4dd4-8e48-9e11fc8e0154"
"2024-01-01T11:00:01+00:00","Aruba S.p.A. - Arezzo","40515","51.757","4.025","0","1693232","1111379","18905408","12262656","https://www.speedtest.net/result/c/faa38082-0eb9-4eee-bce7-f1eaa71674da"
"2024-01-01T11:30:01+00:00","Aruba S.p.A. - Arezzo","40515","52.79","5.586","0","543595","1125493","4113562","13451120","https://www.speedtest.net/result/c/e22ffad7-87fb-4233-836c-b6ac959aad9c"
"2024-01-01T12:00:01+00:00","Aruba S.p.A. - Arezzo","40515","48.959","3.189","0","1523054","1216744","18773936","7630688","https://www.speedtest.net/result/c/0e2e9208-7be5-4a5a-b473-3672c80e43d8"
"2024-01-01T12:30:02+00:00","Polo Universitario Aretino - Arezzo","35148","59.596","0.09","0","1278120","1168547","16860120","10133076","https://www.speedtest.net/result/c/ab846863-5fd5-43cd-a6ed-57fe4a58a5cd"
"2024-01-01T13:00:01+00:00","Aruba S.p.A. - Arezzo","40515","53.883","5.832","0","1117267","1254244","13985056","14398176","https://www.speedtest.net/result/c/a8e76df9-6bd4-41df-b6b2-702cd9b93183"
"2024-01-01T13:30:01+00:00","Aruba S.p.A. - Arezzo","40515","43.732","4.367","0","1038169","499257","10388832","1854928","https://www.speedtest.net/result/c/281d3eb4-85c0-46f0-beb2-46ecca0ca56f"
"2024-01-01T14:00:01+00:00","ADD39 - Coding SRL - Abbadia San Salvatore","26941","36.758","3.444","0","1336227","538873","12346416","5825936","https://www.speedtest.net/result/c/57d796cd-f731-4b98-83f4-f57caaf46f2c"
"2024-01-01T14:30:02+00:00","TIM SpA - Perugia","57879","57.852","3.448","0","791915","1214117","9838204","7063652","https://www.speedtest.net/result/c/f4efa41c-2d3c-4f73-a3ed-f3f9d683fce3"
"2024-01-01T15:00:01+00:00","Coolnetwork - Arezzo","3009","78.464","5.644","0","744612","1088916","10125228","9217118","https://www.speedtest.net/result/c/62392749-0ccd-403e-bff1-d15884ff1c34"
"2024-01-01T15:30:01+00:00","Coolnetwork - Arezzo","3009","78.778","2.899","0","1176889","1089668","12156552","9768004","https://www.speedtest.net/result/c/df28b4ee-1031-411a-bb54-a25e72737d88"
"2024-01-01T16:00:01+00:00","TIM SpA - Perugia","57879","58.841","2.479","0","887973","1214496","10504868","10685012","https://www.speedtest.net/result/c/fdbcc73f-c680-472b-949f-14eea893cb0f"
"2024-01-01T16:30:01+00:00","TIM SpA - Perugia","57879","48.779","3.689","0","1503353","468888","18151640","4767956","https://www.speedtest.net/result/c/b702737a-93ce-490b-b6fa-41272669fa7a"
"2024-01-01T17:00:01+00:00","ADD39 - Coding SRL - Abbadia San Salvatore","26941","39.825","7.084","0","1786636","414868","16979808","2097488","https://www.speedtest.net/result/c/a5e11796-3a46-42f2-a94c-552f377d793c"
"2024-01-01T17:30:01+00:00","Polo Universitario Aretino - Arezzo","35148","44.825","6.746","0","1591510","447183","21852756","5157888","https://www.speedtest.net/result/c/fbdb99d6-42a2-4ef6-a091-eba323f68abe"
"2024-01-01T18:00:01+00:00","TIM SpA - Perugia","57879","47.827","5.204","0","1077368","556865","14055260","8153348","https://www.speedtest.net/result/c/f7feb95a-0d87-4cd8-b90c-6676161fe816"
